branch,program,iteration,vsz_pr,rss_pr,vsz_tc,rss_ts,vsz_cg,rss_cg
compact-token,zlib.tea,16,6468,6660,13712,13960,1576,1332
compact-token,zlib.tea,17,6468,6600,13712,13960,1576,1320
compact-token,zlib.tea,18,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,19,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,20,6468,6660,13712,13916,1576,1320
compact-token,zlib.tea,21,6468,6660,13712,13972,1576,1320
compact-token,zlib.tea,22,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,23,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,24,6468,6720,13712,14020,1576,1320
compact-token,zlib.tea,25,6468,6660,13712,13840,1576,1320
compact-token,zlib.tea,26,6468,6660,13712,13840,1576,1320
compact-token,zlib.tea,27,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,28,6468,6660,13712,13916,1576,1332
compact-token,zlib.tea,29,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,30,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,31,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,32,6468,6660,13712,13972,1576,1320
compact-token,zlib.tea,33,6468,6720,13712,13960,1576,1320
compact-token,zlib.tea,34,6468,6660,13712,13840,1576,1320
compact-token,zlib.tea,35,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,36,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,37,6468,6660,13712,13900,1576,1332
compact-token,zlib.tea,38,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,39,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,40,6468,6720,13712,14020,1576,1320
compact-token,zlib.tea,41,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,42,6468,6720,13712,14020,1576,1328
compact-token,zlib.tea,43,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,44,6468,6660,13712,13960,1576,1320
compact-token,zlib.tea,45,6468,6660,13712,13900,1576,1324
compact-token,zlib.tea,46,6468,6720,13712,13960,1576,1320
compact-token,zlib.tea,47,6468,6660,13712,13900,1576,1320
compact-token,zlib.tea,48,6468,6600,13712,13960,1576,1320
compact-token,zlib.tea,49,6468,6660,13712,13960,1576,1324
compact-token,zlib.tea,50,6468,6660,13712,13916,1576,1320
class-ids,chibicc_combined.tea,1,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,2,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,3,5148,5076,7660,7900,1504,1320
class-ids,chibicc_combined.tea,4,5148,5076,7660,7844,1504,1320
class-ids,chibicc_combined.tea,5,5148,5016,7660,7888,1504,1320
class-ids,chibicc_combined.tea,6,5148,5136,7660,7888,1504,1320
class-ids,chibicc_combined.tea,7,5148,5076,7660,7844,1504,1320
class-ids,chibicc_combined.tea,8,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,9,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,10,5148,5076,7660,7844,1504,1320
class-ids,chibicc_combined.tea,11,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,12,5148,5076,7660,7768,1504,1320
class-ids,chibicc_combined.tea,13,5148,5016,7660,7888,1504,1320
class-ids,chibicc_combined.tea,14,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,15,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,16,5148,5136,7660,7948,1504,1320
class-ids,chibicc_combined.tea,17,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,18,5148,5136,7660,7948,1504,1320
class-ids,chibicc_combined.tea,19,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,20,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,21,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,22,5148,5076,7660,7768,1504,1320
class-ids,chibicc_combined.tea,23,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,24,5148,5076,7660,7768,1504,1320
class-ids,chibicc_combined.tea,25,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,26,5148,5076,7660,7768,1504,1320
class-ids,chibicc_combined.tea,27,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,28,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,29,5148,5076,7660,7888,1504,1320
class-ids,chibicc_combined.tea,30,5148,5016,0,0,1504,1320
class-ids,chibicc_combined.tea,31,5148,5076,7660,7828,1504,1328
class-ids,chibicc_combined.tea,32,5148,5076,7660,7828,1504,1320
class-ids,chibicc_combined.tea,33,5148,5076,7660,7828,1504,1320
